,power_demand_kW
2005-06-01 00:00:00,-0.531020833
2005-06-01 01:00:00,-0.337625
2005-06-01 02:00:00,-0.304833333
2005-06-01 03:00:00,-0.325729167
2005-06-01 04:00:00,-0.316729167
2005-06-01 05:00:00,-0.344333333
2005-06-01 06:00:00,-0.864625
2005-06-01 07:00:00,-0.845729167
2005-06-01 08:00:00,-0.380006667
2005-06-01 09:00:00,-0.373480833
2005-06-01 10:00:00,-0.325466667
2005-06-01 11:00:00,-0.900286667
2005-06-01 12:00:00,-0.49532
2005-06-01 13:00:00,-0.965513333
2005-06-01 14:00:00,-0.590824167
2005-06-01 15:00:00,-0.388645833
2005-06-01 16:00:00,-0.578610833
2005-06-01 17:00:00,-0.49036
2005-06-01 18:00:00,-0.40477
2005-06-01 19:00:00,-0.468560833
2005-06-01 20:00:00,-0.525415
2005-06-01 21:00:00,-0.665505
2005-06-01 22:00:00,-0.547506667
2005-06-01 23:00:00,-1.792543333
2005-06-02 00:00:00,-2.064295833
2005-06-02 01:00:00,-1.461848333
2005-06-02 02:00:00,-0.487551667
2005-06-02 03:00:00,-0.382505833
2005-06-02 04:00:00,-0.3336275
2005-06-02 05:00:00,-0.322621667
2005-06-02 06:00:00,-0.3295475
2005-06-02 07:00:00,-0.9957925
2005-06-02 08:00:00,-1.048515
2005-06-02 09:00:00,-0.604764167
2005-06-02 10:00:00,-0.644651667
2005-06-02 11:00:00,-0.826028333
2005-06-02 12:00:00,-0.809501667
2005-06-02 13:00:00,-0.656873333
2005-06-02 14:00:00,-0.4628975
2005-06-02 15:00:00,-0.372013333
2005-06-02 16:00:00,-0.669893333
2005-06-02 17:00:00,-1.159593333
2005-06-02 18:00:00,-1.1415475
2005-06-02 19:00:00,-0.802341667
2005-06-02 20:00:00,-0.807270833
2005-06-02 21:00:00,-0.701958333
2005-06-02 22:00:00,-2.355020833
2005-06-02 23:00:00,-2.719166667
2005-06-03 00:00:00,-1.7788125
2005-06-03 01:00:00,-0.803375
2005-06-03 02:00:00,-0.598625
2005-06-03 03:00:00,-0.462229167
2005-06-03 04:00:00,-0.455791667
2005-06-03 05:00:00,-0.5794375
2005-06-03 06:00:00,-0.520854167
2005-06-03 07:00:00,-0.401395833
2005-06-03 08:00:00,-0.5672375
2005-06-03 09:00:00,-0.601829167
2005-06-03 10:00:00,-0.550855
2005-06-03 11:00:00,-0.594430833
2005-06-03 12:00:00,-0.829443333
2005-06-03 13:00:00,-0.755239167
2005-06-03 14:00:00,-0.880745833
2005-06-03 15:00:00,-0.6050825
2005-06-03 16:00:00,-0.433811667
2005-06-03 17:00:00,-0.898641667
2005-06-03 18:00:00,-0.835243333
2005-06-03 19:00:00,-0.814958333
