,per_area,per_cap,tot_kWh
2005-06-01 00:00:00,0,0,0
2005-06-01 01:00:00,0,0,0
2005-06-01 02:00:00,0,0,0
2005-06-01 03:00:00,0,0,0
2005-06-01 04:00:00,0,0,0
2005-06-01 05:00:00,0,0,0
2005-06-01 06:00:00,0,0,0
2005-06-01 07:00:00,0,0,0
2005-06-01 08:00:00,0.023273151,0.136900889,1.163657556
2005-06-01 09:00:00,0.056431745,0.331951444,2.821587272
2005-06-01 10:00:00,0.066802855,0.39295797,3.340142746
2005-06-01 11:00:00,0.0892993,0.525289998,4.464964983
2005-06-01 12:00:00,0.091929372,0.540761013,4.596468612
2005-06-01 13:00:00,0.067416644,0.396568496,3.370832212
2005-06-01 14:00:00,0.055745357,0.327913864,2.787267846
2005-06-01 15:00:00,0.022927433,0.134867251,1.146371634
2005-06-01 16:00:00,0,0,0
2005-06-01 17:00:00,0,0,0
2005-06-01 18:00:00,0,0,0
2005-06-01 19:00:00,0,0,0
2005-06-01 20:00:00,0,0,0
2005-06-01 21:00:00,0,0,0
2005-06-01 22:00:00,0,0,0
2005-06-01 23:00:00,0,0,0
2005-06-02 00:00:00,0,0,0
2005-06-02 01:00:00,0,0,0
2005-06-02 02:00:00,0,0,0
2005-06-02 03:00:00,0,0,0
2005-06-02 04:00:00,0,0,0
2005-06-02 05:00:00,0,0,0
2005-06-02 06:00:00,0,0,0
2005-06-02 07:00:00,0,0,0
2005-06-02 08:00:00,0.001075183,0.006324604,0.053759131
2005-06-02 09:00:00,0.003345843,0.019681431,0.167292167
2005-06-02 10:00:00,0.00520713,0.030630176,0.260356492
2005-06-02 11:00:00,0.006632051,0.039012064,0.331602544
2005-06-02 12:00:00,0.006770758,0.039827985,0.338537876
2005-06-02 13:00:00,0.006318035,0.037164912,0.31590175
2005-06-02 14:00:00,0.004837373,0.028455137,0.241868662
2005-06-02 15:00:00,0.002098541,0.012344359,0.104927055
2005-06-02 16:00:00,0,0,0
2005-06-02 17:00:00,0,0,0
2005-06-02 18:00:00,0,0,0
2005-06-02 19:00:00,0,0,0
2005-06-02 20:00:00,0,0,0
2005-06-02 21:00:00,0,0,0
2005-06-02 22:00:00,0,0,0
2005-06-02 23:00:00,0,0,0
2005-06-03 00:00:00,0,0,0
2005-06-03 01:00:00,0,0,0
2005-06-03 02:00:00,0,0,0
2005-06-03 03:00:00,0,0,0
2005-06-03 04:00:00,0,0,0
2005-06-03 05:00:00,0,0,0
2005-06-03 06:00:00,0,0,0
2005-06-03 07:00:00,0,0,0
2005-06-03 08:00:00,0.001012324,0.005954844,0.050616176
2005-06-03 09:00:00,0.007814682,0.045968717,0.390734095
2005-06-03 10:00:00,0.014252269,0.083836875,0.712613439
2005-06-03 11:00:00,0.012480778,0.07341634,0.624038886
2005-06-03 12:00:00,0.012939727,0.076116042,0.64698636
2005-06-03 13:00:00,0.013221504,0.077773551,0.661075185
2005-06-03 14:00:00,0.014250923,0.083828957,0.712546133
2005-06-03 15:00:00,0.00571285,0.033605,0.285642501
2005-06-03 16:00:00,0,0,0
2005-06-03 17:00:00,0,0,0
2005-06-03 18:00:00,0,0,0
2005-06-03 19:00:00,0,0,0
2005-06-03 20:00:00,0,0,0
2005-06-03 21:00:00,0,0,0
2005-06-03 22:00:00,0,0,0
2005-06-03 23:00:00,0,0,0
2005-06-04 00:00:00,0,0,0
2005-06-04 01:00:00,0,0,0
2005-06-04 02:00:00,0,0,0
2005-06-04 03:00:00,0,0,0
2005-06-04 04:00:00,0,0,0
2005-06-04 05:00:00,0,0,0
2005-06-04 06:00:00,0,0,0
2005-06-04 07:00:00,0,0,0
2005-06-04 08:00:00,0.000632897,0.003722923,0.031644842
